family,year,statute,regulation,total
32,2014,56933,26514,83447
32,2015,57729,26514,84243
32,2016,59562,27097,86659
32,2017,64086,27190,91276
32,2018,74901,24070,98971
32,2019,75492,26516,102008
33,1998,64521,48125,112646
33,1999,65349,47960,113309
33,2000,65349,50043,115392
33,2001,66308,50236,116544
33,2002,67736,53015,120751
33,2003,67939,43649,111588
33,2004,66903,43235,110138
33,2005,68633,40467,109100
33,2006,70304,41464,111768
33,2007,73407,45012,118419
33,2008,76319,45314,121633
33,2009,79588,46713,126301
33,2010,80789,47176,127965
33,2011,81468,48078,129546
33,2012,82610,48354,130964
33,2013,91993,62890,154883
33,2014,89599,62233,151832
33,2015,90126,63728,153854
33,2016,93688,67368,161056
33,2017,103337,79766,183103
33,2018,101608,81910,183518
33,2019,115024,86483,201507
34,1998,8771,17217,25988
34,1999,8905,18921,27826
34,2000,8905,18921,27826
34,2001,9349,22140,31489
34,2002,9822,22234,32056
34,2003,9956,22381,32337
34,2004,10056,22381,32437
34,2005,16840,27384,44224
34,2006,17685,27393,45078
34,2007,18362,29791,48153
34,2008,20218,29865,50083
34,2009,20976,31135,52111
34,2010,20964,31150,52114
34,2011,21073,38302,59375
34,2012,22126,39667,61793
34,2013,23000,42346,65346
34,2014,23000,43223,66223
34,2015,23380,43339,66719
34,2016,40500,36879,77379
34,2017,42213,36909,79122
34,2018,42507,40829,83336
34,2019,45624,41213,86837
35,1998,34469,37255,71724
35,1999,34469,36812,71281
35,2000,34469,36812,71281
35,2001,34531,36817,71348
35,2002,34529,36934,71463
35,2003,34498,36934,71432
35,2004,34498,36942,71440
35,2005,34498,35767,70265
35,2006,34633,35866,70499
35,2007,34633,35866,70499
35,2008,34633,36920,71553
35,2009,34545,36920,71465
35,2010,34541,35860,70401
35,2011,34541,35842,70383
35,2012,34541,35341,69882
35,2013,34516,35341,69857
35,2014,34516,35341,69857
35,2015,34517,35341,69858
35,2016,35132,45307,80439
35,2017,35548,41941,77489
35,2018,35548,41192,76740
35,2019,35548,41030,76578
36,1998,44727,28448,73175
36,1999,44862,26711,71573
36,2000,46491,26717,73208
36,2001,44435,31010,75445
36,2002,45909,28539,74448
36,2003,45742,28603,74345
36,2004,45631,28603,74234
36,2005,46330,28590,74920
36,2006,45343,24186,69529
36,2007,44768,23888,68656
36,2008,44406,23869,68275
36,2009,52856,24526,77382
36,2010,53176,24526,77702
36,2011,53005,22011,75016
36,2012,53005,21983,74988
36,2013,53387,21979,75366
36,2014,53387,21972,75359
36,2015,53454,21970,75424
36,2016,45263,21862,67125
36,2017,45654,26251,71905
36,2018,45363,26243,71606
36,2019,53934,26449,80383
37,1998,58018,14749,72767
37,1999,57823,14749,72572
37,2000,56146,14537,70683
37,2001,61045,14537,75582
37,2002,60042,14537,74579
37,2003,61721,14749,76470
37,2004,66221,14749,80970
37,2005,61438,14749,76187
37,2006,59267,896,60163
37,2007,64122,896,65018
37,2008,64122,896,65018
37,2009,64122,896,65018
37,2010,64044,896,64940
37,2011,59189,896,60085
37,2012,59189,896,60085
37,2013,59189,896,60085
37,2014,64044,896,64940
37,2015,59192,896,60088
37,2016,64047,896,64943
37,2017,58797,896,59693
37,2018,58797,896,59693
37,2019,58797,896,59693
38,1998,48180,11884,60064
38,1999,51259,8134,59393
38,2000,50122,8134,58256
38,2001,50588,9321,59909
38,2002,51160,9318,60478
38,2003,50223,9373,59596
38,2004,51306,9369,60675
38,2005,54154,9279,63433
38,2006,58484,12766,71250
38,2007,58543,12776,71319
38,2008,63437,14309,77746
38,2009,68134,14078,82212
38,2010,70754,16646,87400
38,2011,69238,16646,85884
38,2012,65373,15773,81146
38,2013,68790,15880,84670
38,2014,68703,15880,84583
38,2015,67512,17675,85187
38,2016,65990,15472,81462
38,2017,68842,24369,93211
38,2018,65038,24777,89815
38,2019,67972,25281,93253
39,1998,37259,23312,60571
39,1999,45790,24438,70228
39,2000,41717,19585,61302
39,2001,50305,20736,71041
39,2002,41852,19853,61705
39,2003,50367,20751,71118
39,2004,50496,21090,71586
39,2005,50482,21090,71572
39,2006,50412,21094,71506
39,2007,50367,21087,71454
39,2008,48200,20559,68759
39,2009,48202,20547,68749
39,2010,48202,20541,68743
39,2011,48202,20988,69190
39,2012,48153,20990,69143
39,2013,40447,20329,60776
39,2014,40447,20329,60776
39,2015,40463,20955,61418
39,2016,48196,21833,70029
39,2017,48203,21637,69840
39,2018,40470,21160,61630
39,2019,48203,23117,71320
40,1998,43120,24537,67657
40,1999,45060,24537,69597
40,2000,45269,24537,69806
40,2001,35105,24540,59645
40,2002,29925,23921,53846
40,2003,29994,23921,53915
40,2004,31740,23375,55115
40,2005,30154,25703,55857
40,2006,30063,25703,55766
40,2007,29422,25687,55109
40,2008,29422,25663,55085
40,2009,29398,26005,55403
40,2010,30944,26590,57534
40,2011,30977,26590,57567
40,2012,30990,26704,57694
40,2013,30990,26702,57692
40,2014,30990,26702,57692
40,2015,30986,26692,57678
40,2016,25826,26005,51831
40,2017,25150,26005,51155
40,2018,25150,26005,51155
40,2019,25133,26005,51138
41,1998,0,3427,3427
41,1999,0,3427,3427
41,2000,0,3427,3427
41,2001,0,3427,3427
41,2002,0,3427,3427
41,2003,0,3427,3427
41,2004,8153,10805,18958
41,2005,8153,10787,18940
41,2006,8096,12133,20229
41,2007,8096,23364,31460
41,2008,8014,27888,35902
41,2009,9861,27536,37397
41,2010,12244,24567,36811
41,2011,12244,26208,38452
41,2012,13049,26179,39228
41,2013,11959,26179,38138
41,2014,18362,32037,50399
41,2015,19292,46485,65777
41,2016,23545,45474,69019
41,2017,20781,42072,62853
41,2018,22969,40622,63591
41,2019,22510,46925,69435
42,1998,22695,43083,65778
42,1999,22663,44026,66689
